step,time,loss,acc
0,2024-06-17T10:02:49.071564,0.7254,0.5391
5,2024-06-17T10:02:50.238181,0.6985,0.5156
10,2024-06-17T10:02:50.993464,0.1230,0.9766
15,2024-06-17T10:02:51.807475,0.0050,1.0000
20,2024-06-17T10:02:52.462711,0.0006,1.0000
25,2024-06-17T10:02:53.260870,0.0001,1.0000
30,2024-06-17T10:02:53.940472,0.0000,1.0000
35,2024-06-17T10:02:54.674322,0.0377,0.9922
40,2024-06-17T10:02:55.361560,0.0000,1.0000
45,2024-06-17T10:02:56.092612,0.0000,1.0000
50,2024-06-17T10:02:56.516777,0.0000,1.0000
55,2024-06-17T10:02:57.109399,0.0001,1.0000
60,2024-06-17T10:02:57.629761,0.0167,0.9922
65,2024-06-17T10:02:58.267873,0.0000,1.0000
70,2024-06-17T10:02:58.744924,0.0001,1.0000
75,2024-06-17T10:02:59.334427,0.0001,1.0000
80,2024-06-17T10:02:59.852485,0.0000,1.0000
85,2024-06-17T10:03:00.279755,0.0008,1.0000
90,2024-06-17T10:03:00.698218,0.0000,1.0000
95,2024-06-17T10:03:01.306397,0.0000,1.0000
100,2024-06-17T10:03:01.735196,0.0000,1.0000
105,2024-06-17T10:03:02.293909,0.0000,1.0000
110,2024-06-17T10:03:02.774005,0.0000,1.0000
115,2024-06-17T10:03:03.432701,0.0000,1.0000
120,2024-06-17T10:03:03.812516,0.0000,1.0000
125,2024-06-17T10:03:04.260708,0.0000,1.0000
130,2024-06-17T10:03:04.900900,0.0000,1.0000
135,2024-06-17T10:03:05.398161,0.0000,1.0000
140,2024-06-17T10:03:05.783515,0.0068,0.9922
145,2024-06-17T10:03:06.208246,0.0000,1.0000
150,2024-06-17T10:03:06.616648,0.0002,1.0000
155,2024-06-17T10:03:10.179069,0.0000,1.0000
160,2024-06-17T10:03:10.515973,0.0001,1.0000
165,2024-06-17T10:03:10.926247,0.0110,0.9922
170,2024-06-17T10:03:11.229445,0.0000,1.0000
175,2024-06-17T10:03:11.711581,0.0000,1.0000
180,2024-06-17T10:03:12.098855,0.0000,1.0000
185,2024-06-17T10:03:12.548372,0.0000,1.0000
190,2024-06-17T10:03:12.853738,0.0000,1.0000
195,2024-06-17T10:03:13.325482,0.0000,1.0000
200,2024-06-17T10:03:13.645143,0.0000,1.0000
205,2024-06-17T10:03:14.223054,0.0001,1.0000
210,2024-06-17T10:03:14.535984,0.0000,1.0000
215,2024-06-17T10:03:14.993381,0.0149,0.9922
220,2024-06-17T10:03:15.312365,0.0000,1.0000
225,2024-06-17T10:03:15.988715,0.0000,1.0000
230,2024-06-17T10:03:16.374718,0.0004,1.0000
